WADOE_ID	AWM_Imperv_SQ	AWM_Imperv_MG	AWM_Imperv_UG
1232	2.4082403346	1.8361557561	3.3747460335
1233	12.2011279526	13.5180921204	17.7498137279
1238	4.0134061601	0.5933897106	5.1842319222
1239	14.6143249651	8.4571911952	20.1831689659
1240	14.1576827226	12.7605459685	22.4803901856
1241	7.7496436820	18.8077088876	16.7857812209
1242	1.8487231389	0.8654873421	3.4448440039
1243	2.0491266938	2.0491266938	2.0491266938
1244	0.5996456783	0.5996456783	0.5996456783
1246	3.4833745475	3.3425747448	3.4739854119
1247	12.3527649536	7.7121189250	24.8266449214
1248	6.8467368564	8.5035909735	18.4092030761
1251	12.6079371802	11.0317171981	22.0711761102
1252	8.4939128791	19.0901580039	23.4973752168
1257	4.6829530597	5.3884892396	5.0359065817
1258	15.3720976257	14.9334788388	1.8069770040
1260	5.2421174614	4.9208278114	4.1758662122
1263	2.3220359735	2.3220359735	2.3220359735
1266	0.5498094067	0.5456506947	0.5456506947
1267	1.7442898602	0.9699533256	2.0388398634
1269	2.2539006293	2.1840924881	2.2198190104
1270	0.3253301184	0.3253301184	0.3253301184
1271	0.6277085213	0.6277085213	0.6277085213
1274	1.3057320741	9.1880319536	18.4258622246
1278	7.8208365761	1.6551170927	2.7999657127
1279	3.4064637853	16.1753681247	13.8836366147
1280	2.2502889955	1.4929858895	3.3998312181
1281	1.3052435187	1.3052435187	1.3052435187
1288	0.8163499244	1.0486513780	0.8956343577
1289	0.9218532466	1.9726737457	1.6925603644
1290	0.4303101584	0.7710484264	0.8760838804
1291	7.2261165481	5.5032255951	16.7283460617
1292	8.9356042047	3.6291167504	9.8004962728
1293	1.9413245311	0.7355848225	2.8615865355
1294	10.9547989659	9.5932904140	20.0811720921
1295	1.5814690648	2.1187229548	4.0187175195
1296	0.4911843418	0.3648092205	0.7587825495
1297	3.1945651856	2.6167265621	4.1325528538
1298	6.3720669103	4.0834310147	8.7317966816
1299	2.1090838935	1.3402109737	5.1873480392
1300	0.4850593183	0.4165152324	0.4302885972
1301	5.4744288262	9.6590183821	11.2159285416
1302	12.9188282459	9.8220474469	20.0724187809
1303	8.8310972448	8.5024747662	17.2700745312
1304	12.1634516887	5.6416072351	17.3717685585
1305	12.3496647766	6.9409834251	29.7508820757
1306	10.4684653913	6.2681434692	19.2967062965
1307	15.9050800656	18.9642773957	35.5398761486
1308	13.6855353879	5.7996008918	51.9505677990
1309	20.7157435126	2.0355953251	22.0994589116
1312	5.3659616182	3.0361862134	4.4842815029
1314	12.4593245460	14.2070630372	16.8204592827
1315	12.5836291384	8.1666403317	20.0767373500
1316	10.3950087108	15.2669272229	24.6383765161
1317	12.5113713094	10.2453663258	22.8634584760
1318	9.1777299373	7.0485587235	21.7303072257
1319	9.8799696590	15.5975613874	22.7619622173
1320	13.2894828662	15.7190690671	16.0578364209
1321	14.7157077324	10.7940896511	17.6522227855
1322	16.9581548166	8.5742240965	29.4323625725
1323	19.5251300380	10.5100149171	33.1077664271
1324	2.2259948566	1.9582655815	2.4148100163
1325	4.7232344527	3.0047193086	8.5963597074
1326	7.8467969429	7.2591229265	7.8767877826
1327	7.8797244452	5.6517553948	11.7021794210
1328	22.3942593075	6.9326279964	34.0717658486
1329	5.0590924087	6.9829952817	20.8883385078
1330	8.1469590503	13.6836066887	11.4369838385
1331	4.3930620094	6.4700955854	7.9872388913
1332	10.6925020438	4.0745459640	15.3214082655
1333	17.4657393538	4.5554712913	19.7932208435
1336	20.9943012708	20.9595123576	26.7142587789
1337	7.5870119571	5.7782649408	13.0366655398
1342	1.6712574330	1.6712574330	1.6712574330
1344	23.9324583157	3.9889747406	13.4205825846
1345	8.6271444409	2.9467641391	10.1555575615
1356	2.2564111983	2.1423551630	2.6209920162
1359	2.4705263983	5.0182287467	4.2083969194
1365	10.0191918660	19.6211034985	18.2097946737
1387	15.2747860763	24.0774092559	25.6064796656
1388	11.0504928791	10.2851932189	15.0305122937
1392	25.4699175749	3.2873530581	43.1203888103
1393	4.2536200195	2.8491916219	7.1798095897
1396	4.7557307113	4.3408881758	5.3563154074
1401	8.4972845613	5.0793733134	10.3059838064
1402	3.4280662617	1.5141165188	1.7571665234
1407	6.4171403540	3.2724144347	7.0649498865
1411	1.9996658760	1.3422242562	4.2268180090
1415	3.8398401882	3.8826701579	2.9785082420
1423	0.7127820268	0.3947722635	2.5713531743
1424	4.5295202596	9.7068168544	16.4639589786
1427	3.5382205777	3.3590472365	3.0162664389
1428	7.5717493633	3.3826361575	9.6901490267
1429	13.3796991614	14.9371775222	21.7449948406
1432	0.4934514587	0.4934514587	0.4934514587
1434	3.5859670490	2.7967004780	5.5253453229
1437	9.1137000239	16.9336490484	20.2968128417
1451	18.6844361860	10.5778061272	27.4099888531
1452	1.8974236867	2.0652210229	2.7761581090
1459	0.9557146982	0.7918275298	2.7280028268
1460	4.4125476029	1.1951717122	5.8227925297
1468	0.2522446679	0.2522446679	0.2522446679
1469	0.3048103050	0.3350255880	0.2903217626
1472	0.4801465253	0.2809342336	0.6407414729
1473	0.2547859953	0.2547859953	0.2547859953
1474	0.2316960596	0.2316960596	0.2316960596
1475	0.2496773698	0.2496773698	0.2496773698
1502	3.4819289292	2.6694672785	6.7640331518
1504	5.0853236263	5.4873554814	8.1009178137
1505	1.3460659005	3.7993878484	3.4143455504
1506	5.3354783269	1.5023533059	9.8629595525
1507	6.8714635509	2.5280161025	8.9169811060
1508	0.8813855146	0.8616414535	2.2601810448
1509	10.4129201905	8.0022476473	9.9112864459
1510	2.6231425468	2.6231425468	2.6231425468
1511	7.4376657634	8.4545576923	14.6124705787
1513	18.3679289102	13.9680767989	18.6961298672
1514	16.7627589458	15.4572789024	16.9784154613
1515	13.2782958429	15.7479769489	18.2830884915
1516	30.2095789285	24.5825270160	30.8986678685
1517	10.6237382666	12.0513550413	9.5794129860
1518	19.1408383973	19.2019231336	13.5674224858
1519	9.6427729007	15.3393978266	9.2540049703
1520	9.3999504875	7.2912797400	9.5057564260
1521	14.4350404892	15.0099333211	16.5900490417
1522	19.8019348640	15.5887314618	19.6002437307
1523	13.0705299040	10.3904309636	13.0613594831
1524	8.5932900386	9.1003283049	9.1120227735
1525	6.2845341169	6.1324217929	7.1052795045
1527	5.9397344230	5.9053237198	5.9397344230
1528	31.9048711647	28.6315733453	32.5549538177
1529	32.4802955373	26.1370156893	32.1611554722
1530	1.2420928492	1.2419383880	1.2522723386
1531	2.7807530334	1.9089712250	4.1086430959
1534	8.8511762156	7.2638133933	6.4674013531
1535	7.2521105082	7.2289680763	7.2282702474
1536	2.0850884220	2.2357792040	2.4091695799
1537	18.6520032425	15.7945603598	23.7385295832
1538	16.0264296738	13.5635086246	14.7661020467
1539	4.3132481290	3.6765427623	7.1733715292
1542	8.4905941994	7.9683348453	14.5639000065
1551	12.9032642513	15.7231903958	14.1276887294
1552	7.1264280639	6.1369561989	7.5043029123
1555	18.5774237268	11.9685343015	26.2219087765
1556	34.2103278400	4.6620519206	40.9806673595
1557	0.2327760055	0.2327760055	0.2327760055
1558	24.9910896319	14.2276030083	39.7930924310
1559	14.9576013879	6.5351916283	24.2825919345
1560	15.8098037862	9.0595763308	28.8380771143
1561	14.8974432972	10.6411049695	17.4990770404
1562	25.5236703934	7.8813456612	34.3527586782
1563	2.8410372257	1.4871908982	7.4554010648
1564	1.4412281661	0.6701043890	2.0484625566
1565	0.4442443406	0.2596221229	1.9555812935
1566	1.9165059681	1.6780910123	2.1118237433
1567	0.9928517083	0.9499231215	0.8728108176
1573	1.3405731260	1.3405731260	1.3405731260
1574	4.0544395048	1.8155431759	4.1185187115
1575	18.6062377199	14.7948847448	41.0436511936
1576	15.8975775583	26.7652140439	32.0721949639
1577	39.3139675065	2.9821650221	60.3441973367
1578	24.5058724451	6.9258569500	32.0603577184
1579	4.0933713215	1.8766146499	5.3642620153
1580	17.2605185851	21.0262712789	37.6445587050
1581	25.2982225911	7.7538119580	33.1438089081
1582	26.8871047879	12.5449296283	26.5588482596
1583	58.7388000000	0.2522700000	30.1846000000
1584	15.7161938787	0.2222949365	31.4985218477
1585	21.2547426618	7.4133155417	26.9285813700
1586	14.3185143513	18.9207533091	27.2076130054
